,critics,date,rating,rating1,rating_count,subtext,tconst,time,title,user
134,137 critic,"13 October 1958 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.2/10 ","111,370","
Not Rated
| 
                        1h 36min
                    
|
Drama, 
Fantasy
|
13 October 1958 (USA)

 ",tt0050976,"
                        1h 36min
                    ",The Seventh Seal (1957) ,266 user
135,116 critic,"28 August 1998 (UK)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","413,341","
R
| 
                        1h 47min
                    
|
Comedy, 
Crime
|
28 August 1998 (UK)

 ",tt0120735,"
                        1h 47min
                    ","Lock, Stock and Two Smoking Barrels (1998) ",524 user
136,162 critic,"4 November 1927 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","29,054","
Not Rated
| 
                        1h 34min
                    
|
Drama, 
Romance
|
4 November 1927 (USA)

 ",tt0018455,"
                        1h 34min
                    ",Sunrise (1927) ,188 user
137,212 critic,"17 June 2005 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","212,881","
PG
| 
                        1h 59min
                    
|
Animation, 
Adventure, 
Family
|
17 June 2005 (USA)

 ",tt0347149,"
                        1h 59min
                    ",Howl's Moving Castle (2004) ,329 user
138,133 critic,"22 November 1995 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","332,037","
R
| 
                        2h 58min
                    
|
Biography, 
Crime, 
Drama
|
22 November 1995 (USA)

 ",tt0112641,"
                        2h 58min
                    ",Casino (1995) ,533 user
139,113 critic,"24 February 1927 (France)

","[<meta content=""UNRATED"" itemprop=""contentRating""/>]","
8.2/10 ","53,293","
Unrated
| 
                        1h 7min
                    
|
Action, 
Adventure, 
Comedy
|
24 February 1927 (France)

 ",tt0017925,"
                        1h 7min
                    ",The General (1926) ,240 user
140,113 critic,"22 June 1959 (USA)

","[<meta content=""UNRATED"" itemprop=""contentRating""/>]","
8.2/10 ","62,846","
Unrated
| 
                        1h 31min
                    
|
Drama, 
Horror, 
Romance
|
22 June 1959 (USA)

 ",tt0050986,"
                        1h 31min
                    ",Wild Strawberries (1957) ,145 user
141,116 critic,"10 October 1980 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","161,356","
PG
| 
                        2h 4min
                    
|
Biography, 
Drama
|
10 October 1980 (USA)

 ",tt0080678,"
                        2h 4min
                    ",The Elephant Man (1980) ,356 user
142,776 critic,"18 December 2015 (USA)

","[<meta content=""PG-13"" itemprop=""contentRating""/>]","
8.2/10 ","558,639","
PG-13
| 
                        2h 16min
                    
|
Action, 
Adventure, 
Fantasy
|
18 December 2015 (USA)

 ",tt2488496,"
                        2h 16min
                    ",Star Wars: The Force Awakens (2015) ,"3,896 user"
143,317 critic,"9 September 2011 (USA)

","[<meta content=""PG-13"" itemprop=""contentRating""/>]","
8.2/10 ","330,660","
PG-13
| 
                        2h 20min
                    
|
Drama, 
Sport
|
9 September 2011 (USA)

 ",tt1291584,"
                        2h 20min
                    ",Warrior (2011) ,512 user
